gempermid,holddate,shareshldadj,shareshld,pctshouthld,shshldchg,comname,name,activity,close_
8589945889,2011-08-19T00:00:00Z,326622600,1633113,71.07,3101,Ichigo Ord Shs,Ichigo Asset Management,buy,46.35
8589945889,2011-09-12T00:00:00Z,329260600,1646303,71.64,13190,Ichigo Ord Shs,Ichigo Asset Management,buy,48.35
8589945889,2011-10-13T00:00:00Z,661052400,3305262,143.84,12656,Ichigo Ord Shs,Ichigo Asset Management,buy,45
8589945889,2011-10-18T00:00:00Z,484961600,2424808,105.52,-880454,Ichigo Ord Shs,Ichigo Asset Management,sell,48.8
8589945889,2011-11-02T00:00:00Z,490306800,2451534,106.68,26726,Ichigo Ord Shs,Ichigo Asset Management,buy,45.5
8589945889,2011-11-21T00:00:00Z,497990800,2489954,108.36,38420,Ichigo Ord Shs,Ichigo Asset Management,buy,47.9
8589945889,2012-01-27T00:00:00Z,501808400,2509042,109.18,19088,Ichigo Ord Shs,Ichigo Asset Management,buy,47.95
8589945889,2012-02-23T00:00:00Z,501808400,2509042,111.2,0,Ichigo Ord Shs,Ichigo Asset Management,hold,48.25
8589945889,2012-04-25T00:00:00Z,501808400,2509042,111.2,0,Ichigo Ord Shs,Ichigo Asset Management,hold,46
8589945889,2012-05-02T00:00:00Z,501808400,2509042,111.2,0,Ichigo Ord Shs,Ichigo Asset Management,hold,46.5
8589945889,2012-06-11T00:00:00Z,501808400,2509042,111.2,0,Ichigo Ord Shs,Ichigo Asset Management,hold,45.5
8589945889,2012-11-01T00:00:00Z,725182400,3625912,160.7,1116870,Ichigo Ord Shs,Ichigo Asset Management,buy,58.5
8589945889,2014-05-30T00:00:00Z,321721200,321721200,64.42,321721200,Ichigo Ord Shs,Ichigo Asset Management,buy,328
8589945889,2016-11-25T00:00:00Z,278596200,278596200,55.3475,278596200,Ichigo Ord Shs,Ichigo Asset Management,buy,424
8589945889,2017-02-13T00:00:00Z,251443200,251443200,49.918,-27153e3,Ichigo Ord Shs,Ichigo Asset Management,sell,364
8589946086,2016-02-01T00:00:00Z,76400,76400,5.62,76400,Plat Home Ord Shs,Dalton Investments,buy,1535
8589946086,2016-05-24T00:00:00Z,60500,60500,4.4525,-15900,Plat Home Ord Shs,Dalton Investments,sell,5490
8589946086,2017-01-27T00:00:00Z,68300,68300,5.0265,7800,Plat Home Ord Shs,Dalton Investments,buy,1803
